card_names,card_odds,contest
Justin Kluivert CM,15 - 19,Brentford v Bournemouth
Julio Soler CM,15 - 19,Brentford v Bournemouth
David Brooks CM,13 - 17,Brentford v Bournemouth
Bafode Diakite CM,11 - 15,Brentford v Bournemouth
Antoine Semenyo CM,11 - 15,Brentford v Bournemouth
Alex Scott CM,11 - 15,Brentford v Bournemouth
Alex Jimenez CM,11 - 15,Brentford v Bournemouth
Adrien Truffert CM,11 - 15,Brentford v Bournemouth
Amine Adli CM,10 - 14,Brentford v Bournemouth
James Hill CM,10 - 14,Brentford v Bournemouth
Enes Unal CM,9 - 13,Brentford v Bournemouth
Marcus Tavernier CM,9 - 13,Brentford v Bournemouth
Evanilson CM,7 - 11,Brentford v Bournemouth
Eli Junior Kroupi CM,6 - 9,Brentford v Bournemouth
Djordje Petrovic CM,5 - 8,Brentford v Bournemouth
Florentino Luis CM,13 - 17,Burnley v Everton
Lesley Ugochukwu CM,13 - 17,Burnley v Everton
Josh Cullen CM,12 - 16,Burnley v Everton
Josh Laurent CM,11 - 15,Burnley v Everton
Joe Worrall CM,11 - 15,Burnley v Everton
Jaidon Anthony CM,9 - 13,Burnley v Everton
Lucas Pires CM,9 - 13,Burnley v Everton
Oliver Sonne CM,9 - 13,Burnley v Everton
Kyle Walker CM,8 - 12,Burnley v Everton
Hjalmar Ekdal CM,7 - 10,Burnley v Everton
Zian Flemming CM,7 - 10,Burnley v Everton
Quilindschy Hartman CM,7 - 10,Burnley v Everton
Loum Tchaouna CM,7 - 10,Burnley v Everton
Maxime Esteve CM,6 - 9,Burnley v Everton
Mike Tresor CM,5 - 8,Burnley v Everton
Marcus Edwards CM,5 - 8,Burnley v Everton
Armando Broja CM,5 - 8,Burnley v Everton
Jacob Bruun Larsen CM,5 - 8,Burnley v Everton
Martin Dubravka CM,3 - 6,Burnley v Everton
Tim Iroegbunam CM,15 - 19,Burnley v Everton
Elijah Campbell CM,13 - 17,Burnley v Everton
James Garner CM,11 - 15,Burnley v Everton
Jack Grealish CM,10 - 14,Burnley v Everton
James Tarkowski CM,10 - 14,Burnley v Everton
Thierno Barry CM,9 - 13,Burnley v Everton
Charly Alcaraz CM,9 - 13,Burnley v Everton
Merlin Rohl CM,9 - 13,Burnley v Everton
Nathan Patterson CM,9 - 13,Burnley v Everton
Adam Aznou CM,9 - 13,Burnley v Everton
Reece Welch CM,9 - 13,Burnley v Everton
Tyler Dibling CM,7 - 10,Burnley v Everton
Vitaliy Mykolenko CM,7 - 10,Burnley v Everton
Jake O'Brien CM,7 - 10,Burnley v Everton
Michael Keane CM,7 - 10,Burnley v Everton
Dwight McNeil CM,5 - 8,Burnley v Everton
Beto CM,4 - 7,Burnley v Everton
Jordan Pickford CM,6 - 9,Burnley v Everton
Conor Bradley CM,15 - 19,Liverpool v Wolves
Alexis Mac Allister CM,12 - 16,Liverpool v Wolves
Ryan Gravenberch CM,11 - 15,Liverpool v Wolves
Ibrahima Konate CM,10 - 14,Liverpool v Wolves
Virgil van Dijk CM,9 - 13,Liverpool v Wolves
Milos Kerkez CM,9 - 13,Liverpool v Wolves
Florian Wirtz CM,7 - 10,Liverpool v Wolves
Andy Robertson CM,7 - 10,Liverpool v Wolves
Curtis Jones CM,7 - 10,Liverpool v Wolves
Jeremie Frimpong CM,7 - 10,Liverpool v Wolves
Hugo Ekitike CM,5 - 8,Liverpool v Wolves
Federico Chiesa CM,5 - 8,Liverpool v Wolves
Rio Ngumoha CM,5 - 8,Liverpool v Wolves
Trey Nyoni CM,5 - 8,Liverpool v Wolves
Alisson Becker CM,5 - 8,Liverpool v Wolves
Cody Gakpo CM,5 - 8,Liverpool v Wolves
Joao Gomes CM,25 - 29,Liverpool v Wolves
Ladislav Krejci CM,21 - 25,Liverpool v Wolves
Andre CM,21 - 25,Liverpool v Wolves
Ki-Jana Hoever CM,11 - 15,Liverpool v Wolves
Matt Doherty CM,11 - 15,Liverpool v Wolves
David Moller Wolfe CM,11 - 15,Liverpool v Wolves
Jackson Tchatchoua CM,11 - 15,Liverpool v Wolves
Santiago Bueno CM,11 - 15,Liverpool v Wolves
Jorgen Strand Larsen CM,10 - 14,Liverpool v Wolves
Tolu Arokodare CM,10 - 14,Liverpool v Wolves
Hwang Hee-chan CM,10 - 14,Liverpool v Wolves
Jhon Arias CM,9 - 13,Liverpool v Wolves
Fer Lopez CM,9 - 13,Liverpool v Wolves
Jose Sa CM,8 - 12,Liverpool v Wolves
Lucas Paqueta CM,18 - 22,West Ham v Fulham
Soungoutou Magassa CM,17 - 21,West Ham v Fulham
Guido Rodriguez CM,11 - 15,West Ham v Fulham
Andy Irving CM,11 - 15,West Ham v Fulham
Konstantinos Mavropanos CM,10 - 14,West Ham v Fulham
Jean-Clair Todibo CM,9 - 13,West Ham v Fulham
Crysencio Summerville CM,9 - 13,West Ham v Fulham
Tomas Soucek CM,9 - 13,West Ham v Fulham
Mateus Fernandes CM,9 - 13,West Ham v Fulham
Mohamadou Kante CM,9 - 13,West Ham v Fulham
Freddie Potts CM,8 - 12,West Ham v Fulham
Igor CM,7 - 11,West Ham v Fulham
Max Kilman CM,7 - 10,West Ham v Fulham
Oliver Scarles CM,6 - 9,West Ham v Fulham
Kyle Walker-Peters CM,6 - 9,West Ham v Fulham
Jarrod Bowen CM,4 - 7,West Ham v Fulham
Luis Guilherme CM,4 - 7,West Ham v Fulham
Alphonse Areola CM,5 - 8,West Ham v Fulham
Callum Wilson CM,3 - 6,West Ham v Fulham
Sasa Lukic CM,20 - 24,West Ham v Fulham
Joachim Andersen CM,13 - 17,West Ham v Fulham
Sander Berge CM,11 - 15,West Ham v Fulham
Kenny Tete CM,11 - 15,West Ham v Fulham
Harrison Reed CM,11 - 15,West Ham v Fulham
Issa Diop CM,10 - 14,West Ham v Fulham
Jorge Cuenca CM,10 - 14,West Ham v Fulham
Raul Jimenez CM,10 - 14,West Ham v Fulham
Kevin CM,10 - 14,West Ham v Fulham
Harry Wilson CM,10 - 14,West Ham v Fulham
Antonee Robinson CM,8 - 12,West Ham v Fulham
Joshua King CM,8 - 12,West Ham v Fulham
Tom Cairney CM,7 - 11,West Ham v Fulham
Timothy Castagne CM,7 - 11,West Ham v Fulham
Ryan Sessegnon CM,6 - 9,West Ham v Fulham
Bernd Leno CM,8 - 12,West Ham v Fulham
Adama Traore CM,5 - 8,West Ham v Fulham
Jonah Kusi-Asare CM,5 - 8,West Ham v Fulham
Emile Smith Rowe CM,5 - 8,West Ham v Fulham
Moises Caicedo CM,24 - 28,Chelsea v Aston Villa
Facundo Buonanotte CM,18 - 22,Chelsea v Aston Villa
Enzo Fernandez CM,18 - 22,Chelsea v Aston Villa
Andrey Santos CM,15 - 19,Chelsea v Aston Villa
Benoit Badiashile CM,15 - 19,Chelsea v Aston Villa
Reece James CM,13 - 17,Chelsea v Aston Villa
Wesley Fofana CM,13 - 17,Chelsea v Aston Villa
Marc Cucurella CM,13 - 17,Chelsea v Aston Villa
Tosin Adarabioyo CM,13 - 17,Chelsea v Aston Villa
Jorrel Hato CM,12 - 16,Chelsea v Aston Villa
Malo Gusto CM,12 - 16,Chelsea v Aston Villa
Trevoh Chalobah CM,12 - 16,Chelsea v Aston Villa
Pedro Neto CM,10 - 14,Chelsea v Aston Villa
Josh Acheampong CM,10 - 14,Chelsea v Aston Villa
Joao Pedro CM,9 - 13,Chelsea v Aston Villa
Cole Palmer CM,7 - 11,Chelsea v Aston Villa
Marc Guiu CM,7 - 11,Chelsea v Aston Villa
Alejandro Garnacho CM,7 - 11,Chelsea v Aston Villa
Robert Sanchez CM,10 - 14,Chelsea v Aston Villa
Boubacar Kamara CM,16 - 20,Chelsea v Aston Villa
Morgan Rogers CM,13 - 17,Chelsea v Aston Villa
Ian Maatsen CM,13 - 17,Chelsea v Aston Villa
Amadou Onana CM,12 - 16,Chelsea v Aston Villa
John McGinn CM,12 - 16,Chelsea v Aston Villa
Matty Cash CM,12 - 16,Chelsea v Aston Villa
Ezri Konsa CM,10 - 14,Chelsea v Aston Villa
