,manager_id,gw,active_chip,automatic_subs,gw_points,points_on_bench,event_transfers,event_transfers_cost,total_points,picks,value,captain,vice_captain,bank,rank,rank_sort,overall_rank
108,3086421,33,,"[(85, 353)]",73,7,1,0,1990,"(77, 757, 5, 150, 308, 362, 516, 19, 85, 590, 355, 524, 353, 89, 792)",1067,355,308,12,2591695,2611978,217072
109,3086421,34,,[],107,0,4,8,2089,"(77, 5, 313, 792, 89, 294, 19, 308, 226, 232, 85, 524, 590, 362, 150)",1062,308,226,116,1309458,1310700,216327
110,3086421,35,wildcard,"[(355, 353)]",82,3,0,0,2171,"(687, 407, 506, 387, 516, 373, 362, 412, 355, 211, 415, 352, 353, 29, 5)",1060,362,211,18,309819,328647,169972
111,3086421,36,,"[(516, 373)]",108,6,0,0,2279,"(352, 29, 407, 5, 516, 362, 412, 353, 211, 415, 355, 687, 373, 387, 506)",1066,355,362,18,190027,201644,130206
112,3086421,37,bboost,[],123,0,2,0,2402,"(352, 5, 129, 407, 412, 353, 516, 362, 211, 415, 355, 687, 373, 511, 506)",1073,355,516,17,900963,910682,133517
113,3086421,38,,[],82,20,3,8,2476,"(687, 5, 511, 506, 226, 353, 516, 362, 308, 211, 355, 352, 232, 407, 129)",1072,355,516,1,673999,675639,121145
114,429924,1,,[],57,7,0,0,57,"(148, 398, 29, 51, 19, 143, 226, 304, 396, 355, 211, 533, 206, 405, 324)",1000,355,148,35,5883940,5889183,5883941
115,429924,2,,[],34,2,1,0,91,"(148, 398, 29, 611, 405, 19, 143, 304, 396, 355, 211, 533, 226, 206, 324)",1000,19,148,29,7418411,7421055,6360042
116,429924,3,,"[(405, 398)]",44,0,1,0,135,"(148, 29, 611, 405, 143, 226, 108, 396, 19, 211, 355, 533, 398, 324, 206)",1002,355,108,23,4382822,4387755,5898717
117,429924,4,wildcard,[],80,7,0,0,215,"(524, 220, 511, 611, 216, 19, 143, 108, 396, 355, 523, 77, 437, 29, 36)",1001,355,108,22,2244067,2248229,5027574
118,429924,5,,[],48,15,0,0,263,"(524, 220, 511, 611, 29, 216, 19, 108, 396, 437, 355, 77, 36, 523, 143)",1002,355,437,22,3166398,3172246,4683854
119,429924,6,,[],62,8,1,0,325,"(145, 220, 611, 29, 143, 216, 19, 108, 396, 437, 355, 524, 36, 523, 511)",1004,355,437,21,6641235,6645105,5130220
