,league_id,manager_id,gw,active_chip,automatic_subs,gw_points,total_points,picks,captain,vice_captain,bank
123,2123267,2473399,10,,[],82,611,"(352, 511, 20, 688, 108, 43, 516, 504, 19, 60, 355, 28, 119, 439, 395)",60,19,2
124,2123267,2473399,11,,"[(688, 616)]",18,629,"(352, 688, 511, 20, 108, 43, 516, 504, 19, 60, 355, 28, 119, 439, 616)",355,19,2
125,2123267,2473399,12,,"[(439, 511), (119, 504)]",62,691,"(352, 616, 439, 20, 108, 43, 516, 19, 119, 60, 355, 28, 504, 511, 688)",355,19,2
126,2123267,2473399,13,,[],44,735,"(352, 688, 20, 616, 108, 43, 516, 362, 19, 60, 355, 28, 439, 119, 511)",516,19,28
127,2123267,2473399,14,,"[(352, 28)]",58,789,"(352, 178, 112, 20, 108, 308, 362, 19, 60, 119, 355, 28, 43, 439, 688)",308,355,2
128,2123267,2473399,15,,"[(352, 28), (119, 311)]",35,820,"(352, 178, 419, 20, 108, 308, 362, 19, 119, 60, 355, 28, 311, 112, 43)",308,355,2
129,2123267,2473399,16,,"[(178, 355)]",43,859,"(352, 341, 311, 112, 20, 178, 412, 308, 362, 19, 60, 28, 355, 43, 119)",355,308,2
130,2123267,2473399,17,,"[(119, 341)]",55,914,"(352, 311, 112, 20, 412, 308, 362, 19, 119, 60, 355, 28, 178, 43, 341)",355,308,2
131,2123267,2473399,18,,[],43,957,"(28, 48, 20, 311, 178, 689, 308, 362, 19, 43, 60, 352, 112, 355, 119)",60,308,0
132,2123267,2473399,19,,[],27,980,"(352, 48, 20, 407, 112, 689, 308, 19, 43, 85, 60, 28, 178, 119, 362)",85,308,73
133,2123267,2473399,20,,"[(85, 689)]",92,1068,"(352, 48, 112, 20, 43, 308, 362, 353, 85, 60, 343, 28, 689, 407, 178)",353,343,71
134,2123267,2473399,21,,"[(112, 178)]",47,1115,"(352, 112, 48, 20, 43, 19, 362, 353, 60, 343, 85, 28, 178, 407, 689)",362,343,111
135,2123267,2473399,22,,[],67,1178,"(520, 48, 20, 407, 349, 353, 19, 362, 85, 343, 60, 28, 43, 178, 112)",349,343,74
136,2123267,2473399,23,,[],78,1256,"(520, 217, 20, 407, 349, 353, 19, 362, 85, 343, 60, 28, 43, 178, 112)",349,343,69
137,2123267,2473399,24,,[],58,1306,"(520, 217, 290, 407, 349, 353, 19, 362, 294, 590, 343, 28, 60, 178, 20)",294,353,14
138,2123267,2473399,25,,[],62,1364,"(520, 20, 313, 407, 349, 353, 19, 362, 294, 293, 343, 28, 60, 178, 217)",349,353,17
139,2123267,2473399,26,wildcard,[],70,1434,"(597, 20, 5, 545, 122, 134, 353, 19, 567, 60, 355, 77, 129, 83, 85)",355,60,19
140,2123267,2473399,27,,[],71,1505,"(77, 20, 5, 83, 122, 134, 353, 19, 567, 60, 355, 597, 545, 129, 85)",355,60,19
141,2123267,2473399,28,,[],51,1556,"(77, 20, 5, 321, 129, 134, 353, 19, 85, 60, 355, 597, 545, 567, 122)",85,19,17
142,2123267,2473399,29,,[],10,1562,"(77, 20, 5, 321, 129, 134, 516, 19, 526, 60, 117, 597, 545, 353, 85)",516,117,5
143,2123267,2473399,30,,[],73,1631,"(77, 20, 511, 129, 353, 362, 516, 526, 85, 60, 117, 597, 19, 545, 321)",516,362,13
144,2123267,2473399,31,,"[(545, 19)]",59,1682,"(301, 129, 511, 20, 545, 362, 516, 526, 308, 85, 117, 77, 19, 538, 321)",308,19,14
145,2123267,2473399,32,,"[(129, 353)]",43,1725,"(77, 545, 511, 20, 129, 362, 516, 526, 308, 85, 117, 301, 353, 538, 321)",362,353,21
